"QID","itemLabel","itemDescription","P1196","P19","P20","P21","P27","P509","P569"
"Q3388039","Pieter van Schuppen","Flemish engraver and painter",NA,"""Antwerp""","""Paris""","""male""","""Southern Netherlands""",NA,"""1627-09-05T00:00:00Z"",""1627-01-01T00:00:00Z"",""1623-01-01T00:00:00Z"""
"Q3588435","Émile Coulon","Belgian architect",NA,"""United Kingdom of the Netherlands""","""Belgium""","""male""","""Belgium""",NA,"""1825-02-12T00:00:00Z"""
"Q3664241","Celestino Celestini","Italian artist",NA,"""Città di Castello""","""Florence""","""male""","""Italy"",""Kingdom of Italy""",NA,"""1882-01-01T00:00:00Z"""
"Q3339942","Nicolas-André Monsiau","French artist and draughtsman (1754-1837)",NA,"""Paris""","""Paris""","""male""","""France""",NA,"""1754-01-01T00:00:00Z"""
"Q3340503","Niclas Lafrensen","Swedish artist (1737-1807)",NA,"""Parish of St Gertrud of Germany""","""Klara Church Parish""","""male""","""Sweden""",NA,"""1737-10-30T00:00:00Z"""
"Q3351266","Jeanne-Claude","French artist married to Christo Javacheff","""natural causes""","""Casablanca""","""New York City""","""female""","""United States of America""","""aneurysm""","""1935-06-13T00:00:00Z"""
"Q3378761","Phil Dike","American artist (1906-1990)",NA,NA,NA,"""male""","""United States of America""",NA,"""1906-04-06T00:00:00Z"""
"Q3385783","Pierre Laprade","French painter (1875–1931)",NA,"""Narbonne""","""Fontenay-aux-Roses""","""male""","""France""",NA,"""1875-07-25T00:00:00Z"""
"Q3387024","Pierre Soubeyran","Genevan-French engraver and copperplate engraver",NA,"""Geneva""","""Geneva""","""male""","""France"",""Republic of Geneva""",NA,"""1709-11-06T00:00:00Z"""
"Q3388025","Pieter Stevens","painter from the Southern Netherlands (1567-1624)",NA,"""Mechelen""","""Prague""","""male""",NA,NA,"""1567-01-01T00:00:00Z"""
"Q3756697","Gabriele Valvassori","Italian architect",NA,"""Rome""","""Rome""","""male""",NA,NA,"""1683-08-21T00:00:00Z"",""1683-08-12T00:00:00Z"""
"Q3436426","Robert Tournières","French painter (1667-1752)",NA,"""Ifs""","""Caen""","""male""","""France""",NA,"""1667-06-17T00:00:00Z"""
"Q3777954","Brian O'Doherty","Irish artist","""natural causes""","""Ballaghaderreen""","""New York City""","""male""","""Republic of Ireland""",NA,"""1928-05-04T00:00:00Z"""
"Q3850246","Martino Ferrabosco","Italian architect",NA,"""Capolago""","""Rome""","""male""",NA,NA,NA
"Q3514992","Tancrède Abraham","French painter and illustrator (1836-1895)",NA,"""Vitré""","""Paris""","""male""","""France""",NA,"""1836-01-07T00:00:00Z"""
"Q3530288","Todd Webb","American photographer (1905-2000)",NA,"""New York City""","""Lewiston""","""male""","""United States of America""",NA,"""1905-09-05T00:00:00Z"""
"Q3903434","Pierre Chenu","French engraver",NA,"""Paris""","""Paris""","""male""","""France""",NA,"""1719-01-01T00:00:00Z"""
"Q3569042","William Wyld","English painter (1806-1889)",NA,"""Greater London""","""Paris""","""male""","""United Kingdom of Great Britain and Ireland""",NA,"""1806-01-17T00:00:00Z"""
"Q3618862","Anton Joseph von Prenner","Austrian painter, printmaker and publisher (1683-1761)",NA,"""Wallerstein"",""Vienna""","""Vienna""","""male""","""Austria""",NA,"""1683-03-07T00:00:00Z"""
"Q3636874","Régis François Gignoux","French painter (1816-1882)",NA,"""Lyon""","""Paris""","""male""","""France""",NA,"""1816-01-01T00:00:00Z"""
"Q3766052","Giovanni Battista Bertani","Italian architect (1516-1576)",NA,"""Mantua""","""Mantua""","""male""",NA,NA,"""1516-01-01T00:00:00Z"""
"Q3766656","Giovanni Battista Falda","Italian painter (1643-1678)",NA,"""Valduggia""","""Rome""","""male""",NA,NA,"""1643-12-07T00:00:00Z"""
"Q3770101","Giuseppe Berneri","Italian poet and dramaturge",NA,"""Rome""","""Rome""","""male""",NA,NA,"""1637-01-01T00:00:00Z"""
"Q3770772","Giuseppe Lacedelli","Italian painter (1774-1832)",NA,"""Cortina d'Ampezzo""","""Vienna"",""Cortina d'Ampezzo""","""male""","""Austrian Empire""",NA,"""1774-04-26T00:00:00Z"",""1774-01-01T00:00:00Z"",""1772-02-26T00:00:00Z"""
"Q3771764","Justus de Corte","Flemish sculptor active in Italy (1627-1679)",NA,"""Ypres""","""Venice""","""male""","""Habsburg Netherlands""",NA,"""1627-01-01T00:00:00Z"""
"Q3807661","Jean Dubreuil","French writer and essayist (1602-1670)",NA,NA,NA,"""male""","""France""",NA,"""1602-07-22T00:00:00Z"""
"Q3858097","Milton Resnick","American painter (1917-2004)","""suicide""","""Bratslav""","""New York City""","""male""","""Ukraine"",""United States of America""",NA,"""1917-01-07T00:00:00Z"""
"Q4303614","Giammaria Mosca","Polish sculptor and architect",NA,"""Padua""","""Venice"",""Poland""","""male""","""Polish–Lithuanian Commonwealth""",NA,"""1493-01-01T00:00:00Z"""
"Q4097495","George Douglas Brewerton","American painter (1820-1901)",NA,"""Newport""","""Fordham""","""male""","""United States of America""",NA,"""1820-01-01T00:00:00Z"""
"Q4205931","Jiří John","Czech graphic, illustrator, painter and artist (1923-1972)",NA,"""Třešť""","""Prague""","""male""","""Czechoslovakia""",NA,"""1923-11-06T00:00:00Z"""
"Q4228019","Jess Collins","American artist (1923-2004)",NA,"""Long Beach""","""San Francisco""","""male""","""United States of America""",NA,"""1923-08-06T00:00:00Z"""
"Q4256545","David Levinthal","U.S. American photographer (b. 1949)",NA,"""San Francisco""",NA,"""male""","""United States of America""",NA,"""1949-03-08T00:00:00Z"""
"Q7342130","Robert Blackburn","African American visual artist, printmaker (1920–2003)",NA,"""Summit""","""New York City""","""male""","""United States of America""",NA,"""1920-12-10T00:00:00Z"""
"Q6795193","Max Rosenthal","American artist (1833-1918)",NA,"""Turek""",NA,"""male""","""Poland"",""Russian Empire"",""United States of America""",NA,"""1833-11-23T00:00:00Z"""
"Q6150343","Jan van Aken","artist, painter (1614-1661)",NA,"""Kampen""","""Amsterdam""","""male""","""Dutch Republic""",NA,"""1614-01-01T00:00:00Z"""
"Q13403262","Alfredo Hlito","Argentinian painter",NA,NA,NA,"""male""","""Argentina""",NA,"""1923-01-01T00:00:00Z"""
"Q13476286","Lorser Feitelson","American artist",NA,"""Savannah""","""Los Angeles""","""male""","""United States of America""",NA,"""1898-02-11T00:00:00Z"""
"Q7609353","Stephen Greene","American painter (1917-1999)",NA,"""Manhattan""",NA,"""male""","""United States of America""",NA,"""1917-09-19T00:00:00Z"""
"Q6017698","Hans Norsbo",NA,NA,"""Falu Kristine church parish""","""Stora Kopparberg parish""","""male""","""Sweden""",NA,"""1897-01-05T00:00:00Z"""
"Q7153141","Paul Reed","American artist (1919-2015)",NA,"""Washington, D.C.""","""Phoenix""","""male""","""United States of America""",NA,"""1919-03-28T00:00:00Z"""
"Q8005333","William Beilby","English glassworker",NA,NA,NA,"""male""","""Great Britain"",""United Kingdom of Great Britain and Ireland""",NA,"""1740-01-01T00:00:00Z"""
"Q5709387","Helmi Juvonen","American artist",NA,NA,NA,"""female""","""United States of America""",NA,"""1903-01-17T00:00:00Z"""
"Q8020568","William Woollett","English engraver (1735 - 1785)",NA,"""Maidstone""","""Greater London""","""male""","""Great Britain""",NA,"""1735-08-15T00:00:00Z"""
"Q7325353","Richard E. Brooks","American artist (1865-1919)",NA,"""Braintree""","""Boston""","""male""","""United States of America""",NA,"""1865-01-01T00:00:00Z"""
"Q6076083","Isaac Briot","French artist",NA,"""Damblain""","""Paris""","""male""","""Duchy of Lorraine""",NA,"""1585-07-01T00:00:00Z"""
"Q6145303","James Welling","American photographer",NA,"""Hartford""",NA,"""male""","""United States of America""",NA,"""1951-01-01T00:00:00Z"""
"Q5760733","Hilaire Hiler","American painter (1898-1966)",NA,"""Saint Paul""","""Neuilly-sur-Seine""","""male""","""United States of America""",NA,"""1898-07-16T00:00:00Z"""
"Q6120328","Jacques-Louis Copia","engraver",NA,"""Landau in der Pfalz""","""Paris""","""male""","""France""",NA,"""1764-01-01T00:00:00Z"""
"Q6153595","Janet Scudder","American sculptor","""natural causes""","""Terre Haute""","""Rockport""","""female""","""United States of America""","""pneumonia""","""1873-01-01T00:00:00Z"",""1869-10-27T00:00:00Z"""
"Q10325755","Maria Bonomi","Brazilian sculptor",NA,"""Province of Novara""",NA,"""female""","""Brazil""",NA,"""1935-07-08T00:00:00Z"""
"Q6209452","Joe Deal","American photographer","""natural causes""","""Topeka""","""Providence""","""male""","""United States of America""","""bladder cancer""","""1948-08-12T00:00:00Z"",""1947-08-12T00:00:00Z"""
"Q6215104","Johan Hagemeyer","American photographer",NA,"""Amsterdam""",NA,"""male""","""United States of America""",NA,"""1884-06-01T00:00:00Z"""
"Q6233387","John Flannagan","American sculptor","""suicide""","""Fargo""","""New York City""","""male""","""United States of America""",NA,"""1895-04-07T00:00:00Z"""
"Q14541540","Johann Michael Stock","German draughtsperson",NA,"""Nuremberg""","""Leipzig""","""male""","""Germany""",NA,"""1737-01-01T00:00:00Z"""
"Q5934744","Hugues Merle","French painter (1822-1881)",NA,"""La Sône""","""Paris""","""male""","""France""",NA,"""1822-04-28T00:00:00Z"""
"Q6413885","Kinji Akagawa","American artist",NA,"""Tokyo""",NA,"""male""","""United States of America""",NA,"""1940-01-01T00:00:00Z"""
"Q8018669","William Spratling","American silversmith","""accidental death""",NA,NA,"""male""","""Mexico""","""traffic collision""","""1900-09-22T00:00:00Z"""
"Q6138854","James Malton","Irish artist (1761-1803)",NA,"""United Kingdom""","""Marylebone""","""male""",NA,NA,"""1766-01-01T00:00:00Z"",""1761-01-01T00:00:00Z"""
"Q6530475","Lesley Dill","American artist",NA,"""Bronxville""",NA,"""female""","""United States of America""",NA,"""1950-01-01T00:00:00Z"",""1949-01-01T00:00:00Z"""
"Q6220586","John Baptist Medina","artist of Flemish-Spanish origin who worked in Great Britain (1659-1710)",NA,"""City of Brussels""","""Edinburgh""","""male""","""Netherlands""",NA,"""1659-01-01T00:00:00Z"""
"Q6225857","John Cheney","American artist (1801-1885)",NA,"""Manchester""","""Manchester""","""male""","""United States of America""",NA,"""1801-01-01T00:00:00Z"""
"Q6231284","John Edward Costigan","American artist (1888-1972)",NA,"""Providence""",NA,"""male""","""United States of America""",NA,"""1888-02-29T00:00:00Z"""
"Q6243041","John Keyse Sherwin","British artist (1751-1790)",NA,"""East Dean""","""London""","""male""","""Great Britain""",NA,"""1751-01-01T00:00:00Z"""
"Q10774019","Aleš Lamr","Czech painter",NA,"""Olomouc""",NA,"""male""","""Czechoslovakia""",NA,"""1943-06-12T00:00:00Z"""
"Q6265578","John de Martelly","American artist (1903-1980)",NA,NA,NA,"""male""","""United States of America""",NA,"""1903-01-01T00:00:00Z"""
"Q13425343","John Flanagan","American artist",NA,"""Newark""","""New York City""","""male""","""United States of America""",NA,"""1865-01-01T00:00:00Z"""
"Q6282376","Joseph Cundall","British publisher and photographer",NA,"""Norwich""","""Wallington"",""Warrington""","""male""","""United Kingdom of Great Britain and Ireland""",NA,"""1818-09-22T00:00:00Z"""
"Q6283498","Joseph Golinkin","American artist (1896-1977)",NA,"""Chicago""","""New York City""","""male""","""United States of America""",NA,"""1896-09-10T00:00:00Z"""
"Q6697422","Lucio Pozzi","American painter",NA,"""Milan""",NA,"""male""","""United States of America""",NA,"""1935-11-29T00:00:00Z"""
"Q6380307","Kay WalkingStick","Cherokee painter and educator from New York",NA,"""Syracuse""",NA,"""female""","""United States of America""",NA,"""1935-03-02T00:00:00Z"""
"Q6390477","Kenneth Miller Adams","American artist (1897-1966)",NA,"""Topeka""","""Albuquerque""","""male""","""United States of America""",NA,"""1897-08-06T00:00:00Z"""
"Q7788725","Thomas Cross","British engraver",NA,NA,NA,"""male""",NA,NA,"""1644-01-01T00:00:00Z"""
"Q11087095","Jean de Courbes","French engraver",NA,"""Paris""","""Madrid""","""male""",NA,NA,"""1592-01-01T00:00:00Z"""
"Q6969709","Nathaniel Kaz","American sculptor",NA,NA,NA,"""male""","""United States of America""",NA,"""1917-03-09T00:00:00Z"""
"Q10769351","Alena Kučerová","Czech graphic",NA,"""Prague""",NA,"""female""","""Czech Republic"",""Serbia and Montenegro"",""Czechoslovakia""",NA,"""1935-04-28T00:00:00Z"""
"Q7029366","Nicolaes de Bruyn","Flemish painter",NA,"""Antwerp""","""Rotterdam""","""male""","""Netherlands""",NA,"""1571-01-01T00:00:00Z"""
"Q6687709","Louis Lozowick","American artist (1892-1973)",NA,"""Liudvinivka""","""New Jersey""","""male""","""United States of America""",NA,"""1892-12-10T00:00:00Z"""
"Q6688504","Louisa Chase","American artist (1951-2016)",NA,"""Panama City""","""East Hampton""","""female""","""United States of America""",NA,"""1951-03-18T00:00:00Z"""
"Q15407145","Fernand Divoire","French poet",NA,"""Brussels metropolitan area""","""Vaucresson""","""male""","""France""",NA,"""1883-03-10T00:00:00Z"""
"Q15429758","Raphael Custos","German engraver",NA,"""Augsburg""","""Augsburg""","""male""","""Germany""",NA,"""1590-01-01T00:00:00Z"""
"Q6760826","Marguerite Zorach","American painter (1887–1968)",NA,"""Santa Rosa""","""Brooklyn"",""New York City""","""female""","""United States of America""",NA,"""1887-09-25T00:00:00Z"""
"Q6780418","Mary Nimmo Moran","American landscape printmaker","""natural causes""","""Strathaven""","""East Hampton""","""female""","""United Kingdom""","""typhoid fever""","""1842-05-16T00:00:00Z"""
"Q7171616","Petah Coyne","American artist",NA,"""Oklahoma City""",NA,"""female""","""United States of America""",NA,"""1953-09-30T00:00:00Z"""
"Q6795945","Maxine Albro","American artist (1903-1966)",NA,"""Ayrshire""","""Los Angeles""","""female""","""United States of America""",NA,"""1903-01-20T00:00:00Z"""
"Q6797395","Maynard Dixon","American painter (1875-1946)",NA,"""Fresno""","""Tucson""","""male""","""United States of America""",NA,"""1875-01-24T00:00:00Z"""
"Q7183431","Philip Dawe","British artist",NA,"""London""",NA,"""male""","""Great Britain"",""United Kingdom of Great Britain and Ireland""",NA,"""1730-01-01T00:00:00Z"""
"Q6835062","Michael Vandergucht","Flemish engraver (1660-1725)",NA,"""Antwerp""","""Antwerp"",""Bloomsbury""","""male""","""Flanders""",NA,"""1660-01-01T00:00:00Z"""
"Q6867898","Minna Citron","American artist (1896-1991)",NA,"""Newark""","""New York City"",""Beth Israel Medical Center""","""female""","""United States of America""","""illness""","""1896-10-15T00:00:00Z"""
"Q6873565","Mirit Cohen","Israeli painter and sculptor (1945-1990)","""suicide""","""Soviet Union""","""New York City""","""female""","""Israel"",""Soviet Union""","""falling""","""1945-01-01T00:00:00Z"""
"Q6881058","Mitchell Jamieson","American artist (1915-1976)",NA,"""Linden"",""Kensington""",NA,"""male""","""United States of America""",NA,"""1915-01-01T00:00:00Z"""
"Q6252328","John Payne","English engraver (c.1607-1647)",NA,"""London""","""London""","""male""","""Kingdom of England""",NA,"""1607-01-01T00:00:00Z"""
"Q6914961","Morton Traylor","American artist (1918-1996)",NA,NA,NA,"""male""","""United States of America""",NA,"""1918-04-06T00:00:00Z"""
"Q6989468","Neil Welliver","American artist (1929-2005)","""natural causes""","""Millville""","""Belfast""","""male""","""United States of America""","""pneumonia""","""1929-07-22T00:00:00Z"""
"Q7051892","Norman Ackroyd","English aquatint artist",NA,"""Leeds""",NA,"""male""","""United Kingdom""",NA,"""1938-03-26T00:00:00Z"""
"Q6135818","James Heath","English engraver",NA,"""London""","""London""","""male""","""Great Britain""",NA,"""1757-04-19T00:00:00Z"""
"Q7398595","Safet Zec","Bosnian painter",NA,"""Rogatica""",NA,"""male""","""Bosnia and Herzegovina""",NA,"""1943-12-05T00:00:00Z"""
"Q7086910","Olin Dows","American artist (1904–1981)","""natural causes""","""Irvington""","""Rhinebeck""","""male""","""United States of America""","""myocardial infarction""","""1904-08-14T00:00:00Z"""
"Q15407081","François Bonneville","French painter (1755-1844)",NA,"""Bacqueville-en-Caux""","""former 10th arrondissement of Paris""","""male""","""France""",NA,"""1755-02-21T00:00:00Z"""
"Q15407360","Jacques-André Portail","French painter and dfraughtsman (1695-1759)",NA,"""Brest""","""Versailles""","""male""","""France""",NA,"""1695-09-04T00:00:00Z"""
"Q7155412","Paulus van Liender","18th century painter from the Northern Netherlands (1731-1797)",NA,"""Utrecht""","""Haarlem""","""male""","""Netherlands""",NA,"""1731-09-25T00:00:00Z"""
"Q6768478","Mark Lancaster","English artist and set designer",NA,NA,NA,"""male""","""United Kingdom""",NA,"""1938-05-14T00:00:00Z"""
"Q7173926","Peter Falconet","French painter (1741-1791)",NA,"""Paris""","""Paris""","""male""","""France""",NA,"""1741-10-09T00:00:00Z"""
"Q7177039","Peter Speeth","German architect (1772-1831)",NA,"""Mannheim""","""Odesa""","""male""","""Germany""",NA,"""1772-11-29T00:00:00Z"""
"Q7576048","Spencer Finch","artist",NA,NA,NA,"""male""","""United States of America""",NA,"""1962-01-01T00:00:00Z"""
"Q7297929","Ray Parker","American painter (1922-1990)",NA,"""Beresford""","""New York City""","""male""","""United States of America""",NA,"""1922-01-01T00:00:00Z"""
"Q7693108","Ted Croner","American photographer",NA,"""Baltimore""","""New York City""","""male""","""United States of America""",NA,"""1922-12-05T00:00:00Z"""
"Q7346973","Robert Loftin Newman","American artist (1827-1912)",NA,NA,"""New York City""","""male""","""United States of America""","""asphyxia""","""1827-11-10T00:00:00Z"""
"Q6134621","James Giles","19th-century Scottish painter and landscape architect (1801-1870)",NA,"""Aberdeen""","""Aberdeen""","""male""","""United Kingdom of Great Britain and Ireland""",NA,"""1801-01-04T00:00:00Z"""
"Q7377450","Rudolph Ruzicka","Czech American painter, illustrator, and printmaker (1883-1978)",NA,"""Kouřim""","""New York City""","""male""","""United States of America""",NA,"""1883-06-29T00:00:00Z"""
"Q11557582","Yōzō Hamaguchi","rintmaker in Japan",NA,"""Hiro""","""Tokyo""","""male""","""Japan""",NA,"""1909-04-05T00:00:00Z"""
"Q7383250","Ruth Vollmer","painter (1903-1982)",NA,"""New York City""","""New York City""","""female""","""United States of America""",NA,"""1903-01-12T00:00:00Z"""
"Q7788344","Thomas Charles Farrer","American artist",NA,"""London""","""London""","""male""","""United Kingdom of Great Britain and Ireland"",""United States of America""",NA,"""1839-09-16T00:00:00Z"",""1838-12-16T00:00:00Z"""
"Q7781604","Theodor Matham","Dutch artist",NA,"""Haarlem""","""Amsterdam""","""male""","""Netherlands""",NA,"""1605-01-01T00:00:00Z"""
"Q7791490","Thomas Kensett","American engineer",NA,"""Middlesex""","""New Haven""","""male""","""Great Britain"",""United Kingdom of Great Britain and Ireland""",NA,"""1786-01-01T00:00:00Z"""
"Q7411741","Samuel Howitt","British artist (1756-1822)",NA,"""Nottingham""","""London""","""male""","""Great Britain"",""United Kingdom of Great Britain and Ireland""",NA,"""1756-01-01T00:00:00Z"""
"Q12026502","Josef Platzer","Czech painter",NA,"""Prague""","""Vienna""","""male""","""Austria""",NA,"""1751-09-21T00:00:00Z"",""1751-09-20T00:00:00Z"""
"Q6257897","John Simon","French-born English mezzotint engraver",NA,"""Normandy""","""London""","""male""",NA,NA,"""1675-01-01T00:00:00Z"""
"Q8013431","William James Bennett","British artist (1787-1844)",NA,"""London""","""New York City""","""male""","""Great Britain"",""United Kingdom of Great Britain and Ireland""",NA,"""1787-01-01T00:00:00Z"""
"Q7659501","Sybil Andrews","English printmaker (1898-1992)",NA,"""West Suffolk""","""British Columbia""","""female""","""United Kingdom"",""United Kingdom of Great Britain and Ireland""",NA,"""1898-04-19T00:00:00Z"""
"Q8021437","Willie Cole","African American artist",NA,"""Newark""",NA,"""male""","""United States of America""",NA,"""1955-01-01T00:00:00Z"""
"Q7668126","Thomas Alexander Harrison","American marine landscape artist active in France (1853-1930)",NA,"""Philadelphia""","""Paris""","""male""","""United States of America""",NA,"""1853-01-17T00:00:00Z"""
"Q11985969","Václav Zykmund","Czech photographer and painter (1914-1984)",NA,"""Prague""","""Brno""","""male""","""Czechoslovakia""",NA,"""1914-06-18T00:00:00Z"""
"Q12025493","Jiří Sever","Czech chemist and photographer",NA,"""Brno""","""Prague""","""male""","""Czechoslovakia""",NA,"""1904-11-24T00:00:00Z"",""1904-11-22T00:00:00Z"""
"Q12070632","Pierre François Tardieu","French engraver (1711-1771)",NA,"""Paris""","""Paris""","""male""","""France""",NA,"""1711-12-24T00:00:00Z"""
"Q7925849","Victor Delhez","Belgium artist (1902-1985)",NA,"""Antwerp""","""Mendoza, Argentina""","""male""","""Belgium""",NA,"""1902-03-16T00:00:00Z"""
"Q7934146","Virginia Berresford","American artist (1902-1995)",NA,"""New Rochelle""","""Martha's Vineyard""","""female""","""United States of America""",NA,"""1902-01-01T00:00:00Z"""
"Q7964647","Walter Darby Bannard","American artist (1934-2016)",NA,"""New Haven""","""Miami""","""male""","""United States of America""",NA,"""1934-09-23T00:00:00Z"""
"Q8006250","William Byron, 4th Baron Byron","British Baron (1669-1736)",NA,"""Newstead""",NA,"""male""","""United Kingdom""",NA,"""1669-01-04T00:00:00Z"""
"Q8007782","William Derby","English artist (1786-1847)",NA,"""Birmingham""","""Greater London""","""male""",NA,NA,"""1786-01-10T00:00:00Z"""
"Q8011020","William Havell","British artist (1782-1857)",NA,"""Reading""","""Kensington""","""male""","""Great Britain"",""United Kingdom of Great Britain and Ireland""",NA,"""1782-02-09T00:00:00Z"""
"Q8014307","William Langson Lathrop","American artist (1859-1938)",NA,"""Warren""","""Montauk""","""male""","""United States of America""",NA,"""1859-03-29T00:00:00Z"""
"Q8020008","William Ward","English engraver, born 1766",NA,"""Greater London""","""Greater London""","""male""","""Great Britain"",""United Kingdom of Great Britain and Ireland""",NA,"""1766-01-01T00:00:00Z"""
"Q16736179","James Godby","English stipple-engraver",NA,NA,NA,"""male""","""United Kingdom""",NA,"""1790-01-01T00:00:00Z"""
"Q20926466","Nicolas Perignon","French painter (1726-1782)",NA,"""Nancy""","""Paris""","""male""","""France""",NA,"""1726-01-01T00:00:00Z"""
"Q16833442","Anna Folkema","Engraver from the Northern Netherlands  (1695–1768)",NA,"""Dokkum""","""Amsterdam""","""female""","""Netherlands""",NA,"""1695-05-22T00:00:00Z"""
"Q21010268","Gertrude Fiske","American artist, 1878-1961",NA,"""Boston""",NA,"""female""",NA,NA,"""1879-04-16T00:00:00Z"""
"Q16853684","Carlo Labruzzo","Italian painter (1748-1817)",NA,"""Rome""","""Perugia""","""male""","""Papal States""",NA,"""1748-11-06T00:00:00Z"""
"Q17352432","Coryn Boel","Flemish engraver",NA,"""Antwerp""","""Antwerp""","""male""",NA,NA,"""1620-01-25T00:00:00Z"""
"Q17423848","Giuseppe Zucchi","Italian engraver",NA,"""Venice""","""Venice""","""male""","""Republic of Venice""",NA,"""1721-01-01T00:00:00Z"""
"Q18353499","Emmy Lou Packard","Californian post-war artist known for painting, printmaking and murals",NA,"""Imperial Valley""","""San Francisco""","""female""","""United States of America""",NA,"""1914-04-15T00:00:00Z"""
"Q17640367","Valentin van Orley","Flemish painter",NA,"""Dutch Republic""","""Brussels metropolitan area""","""male""",NA,NA,"""1466-01-01T00:00:00Z"""
"Q20937561","Dana Smith","American painter",NA,NA,NA,"""male""","""United States of America""",NA,"""1805-01-01T00:00:00Z"""
"Q17421886","Dorothy Stevens","Canadian etcher, portrait painter, print maker, illustrator and teacher",NA,"""Toronto""","""Toronto""","""female""","""Canada""",NA,"""1888-09-02T00:00:00Z"""
"Q16857809","Robert Laurie","British engraver, map and print publisher",NA,"""London""","""Broxbourne""","""male""","""Great Britain"",""United Kingdom of Great Britain and Ireland""",NA,"""1755-01-01T00:00:00Z"""
"Q18507739","Alfred Taiée",NA,NA,"""Paris""","""Le Vésinet""","""male""","""France""",NA,"""1820-01-21T00:00:00Z"""
"Q18508225","Georg Christoph Kilian",NA,NA,"""Augsburg""","""Augsburg""","""male""",NA,NA,"""1709-01-04T00:00:00Z"""
"Q18608672","Karel Zelenko",NA,NA,"""Celje""",NA,"""male""","""Slovenia"",""Socialist Federal Republic of Yugoslavia"",""Kingdom of Yugoslavia""",NA,"""1925-09-15T00:00:00Z"""
"Q18155785","Reuben Moulthrop","American artist",NA,NA,NA,"""male""","""United States of America""",NA,"""1763-01-01T00:00:00Z"""
"Q18152431","Johannes Wierix","Flemish engraver",NA,"""Antwerp""","""City of Brussels""","""male""","""Habsburg Netherlands""",NA,"""1549-01-01T00:00:00Z"""
"Q18217672","Agnolo di Domenico del Mazziere","Italian artist",NA,"""Florence""",NA,"""male""",NA,NA,"""1466-01-01T00:00:00Z"",""1446-01-01T00:00:00Z"""
"Q18345966","Leon Levinstein","American photographer",NA,"""Buckhannon""","""New York City""","""male""","""United States of America""",NA,"""1913-01-01T00:00:00Z"",""1910-01-01T00:00:00Z"""
"Q17986554","Butler Clowes","English engraver and printseller (died c.1788)",NA,NA,NA,"""male""",NA,NA,NA
"Q18507929","Benoît Massou","French sculptor",NA,"""Richelieu""","""Paris""","""male""","""France""",NA,"""1633-01-01T00:00:00Z"""
"Q18511827","Adriaen Lommelin","Flemish printmaker",NA,"""Amiens""","""Antwerp""","""male""","""Southern Netherlands""",NA,"""1620-01-01T00:00:00Z"""
"Q18507690","Adolphe Hervier","French painter and printmaker",NA,"""Paris""","""9th arrondissement of Paris""","""male""","""France""",NA,"""1818-01-01T00:00:00Z"""
"Q18511904","Pierre Duflos","French printmaker",NA,"""Lyon""","""Paris""","""male""",NA,NA,"""1742-08-19T00:00:00Z"""
"Q18508505","Marie-Louise-Adélaïde Boizot","engraver",NA,"""Paris""","""Paris""","""female""","""France""",NA,"""1748-01-01T00:00:00Z"",""1744-08-15T00:00:00Z"""
"Q18123317","Antoine-Jean Duclos","French artist, 1742-1795",NA,"""Paris""","""Paris""","""male""","""France""",NA,"""1742-01-01T00:00:00Z"""
"Q18533407","Joseph Ternbach","art restorer",NA,"""Vienna""","""Forest Hills""","""male""",NA,NA,"""1897-09-10T00:00:00Z"""
"Q18133192","Herman Armour Webster","(1878 - 1970) American painter, etcher, and lithographer",NA,"""New York City""",NA,"""male""","""United States of America""",NA,"""1878-04-06T00:00:00Z"""
"Q15432022","Robert Grosvenor","American sculptor (born 1937)",NA,"""New York City""",NA,"""male""","""United States of America""",NA,"""1937-03-31T00:00:00Z"""
"Q18221452","Lili von Braunbehrens","German writer (1894-1982)",NA,"""Charlottenburg""","""Bad Nauheim""","""female""","""Germany""",NA,"""1894-09-11T00:00:00Z"""
"Q18619037","Charles Hinman","American painter and sculptor",NA,"""Syracuse""",NA,"""male""","""United States of America""",NA,"""1932-12-29T00:00:00Z"""
"Q18686472","Gregory Amenoff","American painter",NA,"""St. Charles""",NA,"""male""","""United States of America""",NA,"""1948-01-01T00:00:00Z"""
"Q20005821","Marine Hugonnier","French and British filmmaker and contemporary artist",NA,"""Paris""",NA,"""female""","""France""",NA,"""1969-01-01T00:00:00Z"""
"Q18719248","James Watrous","American painter",NA,NA,NA,"""male""","""United States of America""",NA,"""1908-08-03T00:00:00Z"""
"Q15435577","Henry Stone","British artist",NA,"""London""","""London""","""male""","""Kingdom of England""",NA,"""1616-01-01T00:00:00Z"""
"Q18508007","Catherine Lusurier","French painter (1752–1781)",NA,"""Paris""","""Paris""","""female""","""France""",NA,"""1752-01-01T00:00:00Z"""
"Q18508350","Jean-Baptiste Arnout","French lithographer (1788-1873)",NA,"""Dijon""","""15th arrondissement of Paris""","""male""","""France""",NA,"""1788-06-24T00:00:00Z"""
"Q18508744","William Unger","German painter and etcher (1837-1932)",NA,"""Hanover""","""Innsbruck""","""male""","""Germany""",NA,"""1837-09-11T00:00:00Z"""
"Q18516670","Johannes Lutma","Dutch silversmith and engraver (1624-1689)",NA,"""Amsterdam""","""Amsterdam""","""male""",NA,NA,"""1624-09-01T00:00:00Z"""
